p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.0000,0,0,0,1000,1000,0
0.0001,0,0,0,1000,999.997,99.637
0.0002,0,0,0,1000,999.977,199.241
0.0003,0,0,0,1000,999.934,299.846
0.0004,0,0,0,1000,999.84,400.35
0.0005,0,0,0,1000,999.659,500.77
0.0006,0,0,0,1000,999.424,599.998
0.0007,0,0,0,1000,998.83,700.111
0.0008,0,0,0,1000,997.769,799.27
0.0009,0,0,0,1000,994.831,900.016
0.001,0,0,0,1000,987.219,999.864
0.0011,0,0,0,1000,962.557,1098.697
0.0012,0,0,0,1000,907.702,1196.964
0.0013,0,0,0,1000,831.243,1296.572
0.0014,0,0,0,1000,743.058,1398.407
0.0015,0,0,0,1000,662.817,1497.686
0.0016,0,0,0,1000,591.726,1598.702
0.0017,0,0,0,1000,526.328,1697.317
0.0018,0,0,0,1000,466.236,1796.642
0.0019,0,0,0,1000,413.806,1897.919
0.002,0,0,0,1000,366.358,1998.53
0.0021,0,0,0,1000,325.07,2100.158
0.0022,0,0,0,1000,289.682,2197.142
0.0023,0,0,0,1000,258.069,2298.179
0.0024,0,0,0,1000,229.324,2398.591
0.0025,0,0,0,1000,202.112,2502.041
0.0026,0,0,1,999,181.568,2601.547
0.0027,0,0,5,995,163.028,2696.99
0.0028,0,0,22,978,145.725,2797.289
0.0029,0,0,41,959,129.902,2897.313
0.0030,0,0,80,920,115.954,3000.525
0.0031,0,0,141,859,104.53,3096.497
0.0032,0,0,199,801,93.002,3195.968
0.0033,0,0,266,734,83.726,3295.275
0.0034,0,0,324,676,75.442,3397.852
0.0035,0,0,422,578,68.296,3495.408
0.0036,0,0,486,514,60.766,3597.154
0.0037,0,0,575,425,54.552,3695.905
0.0038,0,0,641,359,48.958,3800.804
0.0039,0,0,667,333,44.889,3894.789
0.004,0,0,726,274,40.202,3996.835
0.0041,0,0,778,222,36.117,4094.341
0.0042,0,0,791,209,32.76,4195.085
0.0043,0,0,842,158,29.547,4294.042
0.0044,0,0,876,124,26.746,4393.646
0.0045,0,0,878,122,23.877,4491.326
0.0046,0,0,900,100,21.996,4596.961
0.0047,0,0,922,78,19.801,4697.341
0.0048,0,0,927,73,17.908,4795.474
0.0049,0,0,948,52,16.25,4893.642
0.005,0,0,959,41,14.656,4995.92
0.0051,0,0,967,33,13.366,5094.114
0.0052,0,1,974,26,12.316,5198.921
0.0053,0,4,974,26,11.285,5292.899
0.0054,0,1,980,20,10.096,5392.681
0.0055,0,10,978,22,9.277,5496.142
0.0056,2,11,990,10,8.418,5593.14
0.0057,1,27,992,8,7.597,5699.125
0.0058,1,41,992,8,7.027,5794.67
0.0059,5,62,994,6,6.474,5894.505
0.006,6,97,992,8,5.887,5996.701
0.0061,12,129,996,4,5.43,6090.648
0.0062,19,170,997,3,5.007,6191.65
0.0063,19,208,994,6,4.721,6295.653
0.0064,28,275,996,4,4.285,6394.465
0.0065,70,340,999,1,3.896,6490.087
0.0066,64,362,998,2,3.742,6597.736
0.0067,92,419,999,1,3.51,6694.401
0.0068,110,493,999,1,3.201,6786.417
0.0069,120,557,999,1,3.052,6893.312
0.007,174,603,1000,0,2.763,6993.988
0.0071,206,636,998,2,2.674,7095.349
0.0072,237,704,999,1,2.439,7189.512
0.0073,249,712,1000,0,2.366,7294.711
0.0074,287,769,999,1,2.248,7393.268
0.0075,326,800,1000,0,2.111,7493.479
0.0076,382,835,1000,0,1.974,7594.128
0.0077,403,840,1000,0,1.947,7690.03
0.0078,464,866,999,1,1.788,7797.787
0.0079,496,895,1000,0,1.716,7895.52
0.008,521,910,1000,0,1.658,7992.693
0.0081,565,932,1000,0,1.571,8095.426
0.0082,588,945,1000,0,1.531,8197.135
0.0083,609,940,999,1,1.504,8295.477
0.0084,647,955,1000,0,1.434,8394.497
0.0085,664,966,1000,0,1.406,8490.907
0.0086,703,968,1000,0,1.359,8592.797
0.0087,724,982,1000,0,1.309,8687.627
0.0088,727,980,1000,0,1.32,8790.282
