p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.5654,1000,1000,1000,0,1.0,5596.526
0.5664,1000,1000,1000,0,1.0,5605.676
0.5674,1000,1000,1000,0,1.0,5618.875
0.5684,1000,1000,1000,0,1.0,5625.902
0.5694,1000,1000,1000,0,1.0,5636.785
0.5704,1000,1000,1000,0,1.0,5650.436
0.5714,1000,1000,1000,0,1.0,5656.437
0.5724,1000,1000,1000,0,1.0,5669.239
0.5734,1000,1000,1000,0,1.0,5676.068
0.5744,1000,1000,1000,0,1.0,5689.071
0.5754,1000,1000,1000,0,1.0,5696.145
0.5764,1000,1000,1000,0,1.0,5706.824
0.5774,1000,1000,1000,0,1.0,5715.272
0.5784,1000,1000,1000,0,1.0,5726.184
0.5794,1000,1000,1000,0,1.0,5735.197
0.5804,1000,1000,1000,0,1.0,5747.069
0.5814,1000,1000,1000,0,1.0,5757.951
0.5824,1000,1000,1000,0,1.0,5764.635
0.5834,1000,1000,1000,0,1.0,5776.365
0.5844,1000,1000,1000,0,1.0,5786.434
0.5854,1000,1000,1000,0,1.0,5794.56
0.5864,1000,1000,1000,0,1.0,5804.184
0.5874,1000,1000,1000,0,1.0,5815.062
0.5884,1000,1000,1000,0,1.0,5824.802
0.5894,1000,1000,1000,0,1.0,5833.35
0.5904,1000,1000,1000,0,1.0,5845.654
0.5914,1000,1000,1000,0,1.0,5853.049
0.5924,1000,1000,1000,0,1.0,5863.51
0.5934,1000,1000,1000,0,1.0,5871.23
0.5944,1000,1000,1000,0,1.0,5884.669
0.5954,1000,1000,1000,0,1.0,5892.053
0.5964,1000,1000,1000,0,1.0,5902.4
0.5974,1000,1000,1000,0,1.0,5916.161
0.5984,1000,1000,1000,0,1.0,5924.327
0.5994,1000,1000,1000,0,1.0,5934.453
0.6004,1000,1000,1000,0,1.0,5946.041
0.6014,1000,1000,1000,0,1.0,5955.166
0.6024,1000,1000,1000,0,1.0,5962.847
0.6034,1000,1000,1000,0,1.0,5972.945
0.6044,1000,1000,1000,0,1.0,5985.559
0.6054,1000,1000,1000,0,1.0,5989.858
0.6064,1000,1000,1000,0,1.0,6001.598
0.6074,1000,1000,1000,0,1.0,6011.412
0.6084,1000,1000,1000,0,1.0,6022.049
0.6094,1000,1000,1000,0,1.0,6032.455
0.6104,1000,1000,1000,0,1.0,6043.07
0.6114,1000,1000,1000,0,1.0,6050.745
0.6124,1000,1000,1000,0,1.0,6065.817
0.6134,1000,1000,1000,0,1.0,6070.557
0.6144,1000,1000,1000,0,1.0,6083.259
0.6154,1000,1000,1000,0,1.0,6093.673
0.6164,1000,1000,1000,0,1.0,6102.812
0.6174,1000,1000,1000,0,1.0,6115.286
0.6184,1000,1000,1000,0,1.0,6123.376
0.6194,1000,1000,1000,0,1.0,6129.73
0.6204,1000,1000,1000,0,1.0,6142.192
0.6214,1000,1000,1000,0,1.0,6152.16
0.6224,1000,1000,1000,0,1.0,6161.937
0.6234,1000,1000,1000,0,1.0,6171.241
0.6244,1000,1000,1000,0,1.0,6179.674
0.6254,1000,1000,1000,0,1.0,6192.577
0.6264,1000,1000,1000,0,1.0,6202.131
0.6274,1000,1000,1000,0,1.0,6211.081
0.6284,1000,1000,1000,0,1.0,6220.235
0.6294,1000,1000,1000,0,1.0,6233.024
0.6304,1000,1000,1000,0,1.0,6242.118
0.6314,1000,1000,1000,0,1.0,6251.247
0.6324,1000,1000,1000,0,1.0,6262.255
0.6334,1000,1000,1000,0,1.0,6271.601
0.6344,1000,1000,1000,0,1.0,6280.188
0.6354,1000,1000,1000,0,1.0,6288.709
0.6364,1000,1000,1000,0,1.0,6295.901
0.6374,1000,1000,1000,0,1.0,6310.16
0.6384,1000,1000,1000,0,1.0,6322.366
0.6394,1000,1000,1000,0,1.0,6327.841
0.6404,1000,1000,1000,0,1.0,6342.38
0.6414,1000,1000,1000,0,1.0,6350.585
0.6424,1000,1000,1000,0,1.0,6357.419
0.6434,1000,1000,1000,0,1.0,6369.39
0.6444,1000,1000,1000,0,1.0,6380.006
0.6454,1000,1000,1000,0,1.0,6390.654
0.6464,1000,1000,1000,0,1.0,6396.781
0.6474,1000,1000,1000,0,1.0,6410.739
0.6484,1000,1000,1000,0,1.0,6421.15
0.6494,1000,1000,1000,0,1.0,6428.436
0.6503,1000,1000,1000,0,1.0,6437.968
0.6513,1000,1000,1000,0,1.0,6447.526
0.6523,1000,1000,1000,0,1.0,6458.517
0.6533,1000,1000,1000,0,1.0,6470.256
0.6543,1000,1000,1000,0,1.0,6478.439
0.6553,1000,1000,1000,0,1.0,6486.959
0.6563,1000,1000,1000,0,1.0,6498.029
0.6573,1000,1000,1000,0,1.0,6508.788
0.6583,1000,1000,1000,0,1.0,6520.14
0.6593,1000,1000,1000,0,1.0,6526.457
0.6603,1000,1000,1000,0,1.0,6539.085
0.6613,1000,1000,1000,0,1.0,6546.735
0.6623,1000,1000,1000,0,1.0,6557.314
0.6633,1000,1000,1000,0,1.0,6568.064
0.6643,1000,1000,1000,0,1.0,6575.807
0.6653,1000,1000,1000,0,1.0,6585.694
0.6663,1000,1000,1000,0,1.0,6594.465
0.6673,1000,1000,1000,0,1.0,6605.797
0.6683,1000,1000,1000,0,1.0,6613.404
0.6693,1000,1000,1000,0,1.0,6628.531
0.6703,1000,1000,1000,0,1.0,6636.852
0.6713,1000,1000,1000,0,1.0,6645.653
0.6723,1000,1000,1000,0,1.0,6655.247
0.6733,1000,1000,1000,0,1.0,6665.117
0.6743,1000,1000,1000,0,1.0,6673.346
0.6753,1000,1000,1000,0,1.0,6690.501
0.6763,1000,1000,1000,0,1.0,6697.484
0.6773,1000,1000,1000,0,1.0,6705.123
0.6783,1000,1000,1000,0,1.0,6713.292
0.6793,1000,1000,1000,0,1.0,6725.99
0.6803,1000,1000,1000,0,1.0,6734.166
0.6813,1000,1000,1000,0,1.0,6746.124
0.6823,1000,1000,1000,0,1.0,6754.549
0.6833,1000,1000,1000,0,1.0,6764.377
0.6843,1000,1000,1000,0,1.0,6773.049
0.6853,1000,1000,1000,0,1.0,6783.234
0.6863,1000,1000,1000,0,1.0,6793.692
0.6873,1000,1000,1000,0,1.0,6801.754
0.6883,1000,1000,1000,0,1.0,6816.019
0.6893,1000,1000,1000,0,1.0,6823.47
0.6903,1000,1000,1000,0,1.0,6834.294
0.6913,1000,1000,1000,0,1.0,6844.399
0.6923,1000,1000,1000,0,1.0,6852.704
0.6933,1000,1000,1000,0,1.0,6864.559
0.6943,1000,1000,1000,0,1.0,6876.496
0.6953,1000,1000,1000,0,1.0,6883.648
0.6963,1000,1000,1000,0,1.0,6891.879
0.6973,1000,1000,1000,0,1.0,6904.623
0.6983,1000,1000,1000,0,1.0,6913.431
0.6993,1000,1000,1000,0,1.0,6922.022
0.7003,1000,1000,1000,0,1.0,6932.875
0.7013,1000,1000,1000,0,1.0,6943.637
0.7023,1000,1000,1000,0,1.0,6951.824
0.7033,1000,1000,1000,0,1.0,6962.797
0.7043,1000,1000,1000,0,1.0,6971.224
0.7053,1000,1000,1000,0,1.0,6983.502
0.7063,1000,1000,1000,0,1.0,6990.823
0.7073,1000,1000,1000,0,1.0,7000.891
0.7083,1000,1000,1000,0,1.0,7012.028
0.7093,1000,1000,1000,0,1.0,7022.37
0.7103,1000,1000,1000,0,1.0,7031.612
0.7113,1000,1000,1000,0,1.0,7042.203
0.7123,1000,1000,1000,0,1.0,7051.463
0.7133,1000,1000,1000,0,1.0,7063.026
0.7143,1000,1000,1000,0,1.0,7073.545
0.7153,1000,1000,1000,0,1.0,7081.749
0.7163,1000,1000,1000,0,1.0,7091.65
0.7173,1000,1000,1000,0,1.0,7099.868
0.7183,1000,1000,1000,0,1.0,7109.806
0.7193,1000,1000,1000,0,1.0,7121.969
0.7203,1000,1000,1000,0,1.0,7129.448
0.7213,1000,1000,1000,0,1.0,7141.151
0.7223,1000,1000,1000,0,1.0,7152.519
0.7233,1000,1000,1000,0,1.0,7161.729
0.7243,1000,1000,1000,0,1.0,7169.034
0.7253,1000,1000,1000,0,1.0,7179.265
0.7263,1000,1000,1000,0,1.0,7188.743
0.7273,1000,1000,1000,0,1.0,7199.833
0.7283,1000,1000,1000,0,1.0,7212.555
0.7293,1000,1000,1000,0,1.0,7218.972
0.7303,1000,1000,1000,0,1.0,7230.539
0.7313,1000,1000,1000,0,1.0,7237.618
0.7323,1000,1000,1000,0,1.0,7251.714
0.7333,1000,1000,1000,0,1.0,7258.884
0.7343,1000,1000,1000,0,1.0,7271.475
0.7353,1000,1000,1000,0,1.0,7279.405
0.7363,1000,1000,1000,0,1.0,7291.12
0.7373,1000,1000,1000,0,1.0,7298.909
0.7383,1000,1000,1000,0,1.0,7310.898
0.7393,1000,1000,1000,0,1.0,7317.292
0.7403,1000,1000,1000,0,1.0,7326.585
0.7413,1000,1000,1000,0,1.0,7337.611
0.7423,1000,1000,1000,0,1.0,7348.228
0.7433,1000,1000,1000,0,1.0,7357.54
0.7443,1000,1000,1000,0,1.0,7367.859
0.7453,1000,1000,1000,0,1.0,7376.827
0.7463,1000,1000,1000,0,1.0,7387.23
0.7473,1000,1000,1000,0,1.0,7399.366
0.7483,1000,1000,1000,0,1.0,7409.27
0.7493,1000,1000,1000,0,1.0,7418.358
0.7502,1000,1000,1000,0,1.0,7425.797
0.7512,1000,1000,1000,0,1.0,7437.741
0.7522,1000,1000,1000,0,1.0,7449.185
0.7532,1000,1000,1000,0,1.0,7455.439
0.7542,1000,1000,1000,0,1.0,7464.844
0.7552,1000,1000,1000,0,1.0,7477.937
0.7562,1000,1000,1000,0,1.0,7485.914
0.7572,1000,1000,1000,0,1.0,7494.789
0.7582,1000,1000,1000,0,1.0,7505.243
0.7592,1000,1000,1000,0,1.0,7517.047
0.7602,1000,1000,1000,0,1.0,7525.787
0.7612,1000,1000,1000,0,1.0,7537.333
0.7622,1000,1000,1000,0,1.0,7546.964
0.7632,1000,1000,1000,0,1.0,7556.34
0.7642,1000,1000,1000,0,1.0,7564.946
0.7652,1000,1000,1000,0,1.0,7573.646
0.7662,1000,1000,1000,0,1.0,7585.845
0.7672,1000,1000,1000,0,1.0,7595.938
0.7682,1000,1000,1000,0,1.0,7602.524
0.7692,1000,1000,1000,0,1.0,7615.695
0.7702,1000,1000,1000,0,1.0,7623.991
0.7712,1000,1000,1000,0,1.0,7636.382
0.7722,1000,1000,1000,0,1.0,7644.483
0.7732,1000,1000,1000,0,1.0,7655.265
0.7742,1000,1000,1000,0,1.0,7665.872
0.7752,1000,1000,1000,0,1.0,7675.546
0.7762,1000,1000,1000,0,1.0,7687.908
0.7772,1000,1000,1000,0,1.0,7694.421
0.7782,1000,1000,1000,0,1.0,7707.081
0.7792,1000,1000,1000,0,1.0,7715.707
0.7802,1000,1000,1000,0,1.0,7724.867
0.7812,1000,1000,1000,0,1.0,7733.074
0.7822,1000,1000,1000,0,1.0,7742.877
0.7832,1000,1000,1000,0,1.0,7754.152
0.7842,1000,1000,1000,0,1.0,7761.674
0.7852,1000,1000,1000,0,1.0,7770.162
0.7862,1000,1000,1000,0,1.0,7782.977
0.7872,1000,1000,1000,0,1.0,7790.776
0.7882,1000,1000,1000,0,1.0,7802.26
0.7892,1000,1000,1000,0,1.0,7813.189
0.7902,1000,1000,1000,0,1.0,7820.759
0.7912,1000,1000,1000,0,1.0,7830.128
0.7922,1000,1000,1000,0,1.0,7842.717
0.7932,1000,1000,1000,0,1.0,7853.887
0.7942,1000,1000,1000,0,1.0,7865.455
0.7952,1000,1000,1000,0,1.0,7872.445
0.7962,1000,1000,1000,0,1.0,7882.559
0.7972,1000,1000,1000,0,1.0,7893.66
0.7982,1000,1000,1000,0,1.0,7900.108
0.7992,1000,1000,1000,0,1.0,7913.579
0.8002,1000,1000,1000,0,1.0,7921.246
0.8012,1000,1000,1000,0,1.0,7931.16
0.8022,1000,1000,1000,0,1.0,7942.995
0.8032,1000,1000,1000,0,1.0,7951.693
0.8042,1000,1000,1000,0,1.0,7962.482
0.8052,1000,1000,1000,0,1.0,7971.066
0.8062,1000,1000,1000,0,1.0,7982.287
0.8072,1000,1000,1000,0,1.0,7991.413
0.8082,1000,1000,1000,0,1.0,8000.37
0.8092,1000,1000,1000,0,1.0,8010.552
0.8102,1000,1000,1000,0,1.0,8020.637
0.8112,1000,1000,1000,0,1.0,8029.074
0.8122,1000,1000,1000,0,1.0,8038.542
0.8132,1000,1000,1000,0,1.0,8051.028
0.8142,1000,1000,1000,0,1.0,8058.902
0.8152,1000,1000,1000,0,1.0,8069.047
0.8162,1000,1000,1000,0,1.0,8081.519
0.8172,1000,1000,1000,0,1.0,8090.785
0.8182,1000,1000,1000,0,1.0,8099.7
0.8192,1000,1000,1000,0,1.0,8108.796
0.8202,1000,1000,1000,0,1.0,8120.374
0.8212,1000,1000,1000,0,1.0,8129.213
0.8222,1000,1000,1000,0,1.0,8138.986
0.8232,1000,1000,1000,0,1.0,8147.89
0.8242,1000,1000,1000,0,1.0,8159.128
0.8252,1000,1000,1000,0,1.0,8168.268
0.8262,1000,1000,1000,0,1.0,8180.835
0.8272,1000,1000,1000,0,1.0,8191.237
0.8282,1000,1000,1000,0,1.0,8200.581
0.8292,1000,1000,1000,0,1.0,8208.107
0.8302,1000,1000,1000,0,1.0,8216.525
0.8312,1000,1000,1000,0,1.0,8231.843
0.8322,1000,1000,1000,0,1.0,8238.103
0.8332,1000,1000,1000,0,1.0,8248.066
0.8342,1000,1000,1000,0,1.0,8258.435
0.8352,1000,1000,1000,0,1.0,8267.583
0.8362,1000,1000,1000,0,1.0,8281.939
0.8372,1000,1000,1000,0,1.0,8285.908
0.8382,1000,1000,1000,0,1.0,8296.616
0.8392,1000,1000,1000,0,1.0,8307.246
0.8402,1000,1000,1000,0,1.0,8317.272
0.8412,1000,1000,1000,0,1.0,8328.511
0.8422,1000,1000,1000,0,1.0,8337.986
0.8432,1000,1000,1000,0,1.0,8348.956
0.8442,1000,1000,1000,0,1.0,8357.844
0.8452,1000,1000,1000,0,1.0,8368.234
0.8462,1000,1000,1000,0,1.0,8375.092
0.8472,1000,1000,1000,0,1.0,8386.062
0.8482,1000,1000,1000,0,1.0,8396.83
0.8492,1000,1000,1000,0,1.0,8407.717
0.8501,1000,1000,1000,0,1.0,8415.1
0.8511,1000,1000,1000,0,1.0,8424.368
0.8521,1000,1000,1000,0,1.0,8436.433
0.8531,1000,1000,1000,0,1.0,8446.652
0.8541,1000,1000,1000,0,1.0,8457.291
0.8551,1000,1000,1000,0,1.0,8468.109
0.8561,1000,1000,1000,0,1.0,8475.583
0.8571,1000,1000,1000,0,1.0,8484.797
0.8581,1000,1000,1000,0,1.0,8494.538
0.8591,1000,1000,1000,0,1.0,8503.185
0.8601,1000,1000,1000,0,1.0,8514.131
0.8611,1000,1000,1000,0,1.0,8523.277
0.8621,1000,1000,1000,0,1.0,8533.781
0.8631,1000,1000,1000,0,1.0,8545.467
0.8641,1000,1000,1000,0,1.0,8552.903
0.8651,1000,1000,1000,0,1.0,8564.39
0.8661,1000,1000,1000,0,1.0,8573.202
0.8671,1000,1000,1000,0,1.0,8583.971
0.8681,1000,1000,1000,0,1.0,8593.707
0.8691,1000,1000,1000,0,1.0,8604.242
0.8701,1000,1000,1000,0,1.0,8616.178
0.8711,1000,1000,1000,0,1.0,8623.44
0.8721,1000,1000,1000,0,1.0,8633.139
0.8731,1000,1000,1000,0,1.0,8644.587
0.8741,1000,1000,1000,0,1.0,8654.326
0.8751,1000,1000,1000,0,1.0,8663.423
0.8761,1000,1000,1000,0,1.0,8674.119
0.8771,1000,1000,1000,0,1.0,8683.267
0.8781,1000,1000,1000,0,1.0,8694.272
0.8791,1000,1000,1000,0,1.0,8702.646
0.8801,1000,1000,1000,0,1.0,8713.933
0.8811,1000,1000,1000,0,1.0,8720.987
0.8821,1000,1000,1000,0,1.0,8731.845
0.8831,1000,1000,1000,0,1.0,8741.809
0.8841,1000,1000,1000,0,1.0,8751.805
0.8851,1000,1000,1000,0,1.0,8762.201
0.8861,1000,1000,1000,0,1.0,8774.333
0.8871,1000,1000,1000,0,1.0,8784.213
0.8881,1000,1000,1000,0,1.0,8790.483
0.8891,1000,1000,1000,0,1.0,8802.795
0.8901,1000,1000,1000,0,1.0,8811.354
0.8911,1000,1000,1000,0,1.0,8823.653
0.8921,1000,1000,1000,0,1.0,8831.427
0.8931,1000,1000,1000,0,1.0,8840.446
0.8941,1000,1000,1000,0,1.0,8850.667
0.8951,1000,1000,1000,0,1.0,8862.463
0.8961,1000,1000,1000,0,1.0,8870.985
0.8971,1000,1000,1000,0,1.0,8882.106
0.8981,1000,1000,1000,0,1.0,8890.61
0.8991,1000,1000,1000,0,1.0,8900.599
0.9001,1000,1000,1000,0,1.0,8910.1
0.9011,1000,1000,1000,0,1.0,8921.09
0.9021,1000,1000,1000,0,1.0,8931.133
0.9031,1000,1000,1000,0,1.0,8941.411
0.9041,1000,1000,1000,0,1.0,8949.185
0.9051,1000,1000,1000,0,1.0,8961.469
0.9061,1000,1000,1000,0,1.0,8970.248
0.9071,1000,1000,1000,0,1.0,8979.515
0.9081,1000,1000,1000,0,1.0,8990.951
0.9091,1000,1000,1000,0,1.0,9000.022
0.9101,1000,1000,1000,0,1.0,9009.596
0.9111,1000,1000,1000,0,1.0,9020.435
0.9121,1000,1000,1000,0,1.0,9029.546
0.9131,1000,1000,1000,0,1.0,9038.877
0.9141,1000,1000,1000,0,1.0,9047.184
0.9151,1000,1000,1000,0,1.0,9060.347
0.9161,1000,1000,1000,0,1.0,9069.554
0.9171,1000,1000,1000,0,1.0,9079.519
0.9181,1000,1000,1000,0,1.0,9088.707
0.9191,1000,1000,1000,0,1.0,9100.307
0.9201,1000,1000,1000,0,1.0,9109.297
0.9211,1000,1000,1000,0,1.0,9118.615
0.9221,1000,1000,1000,0,1.0,9129.553
0.9231,1000,1000,1000,0,1.0,9139.226
0.9241,1000,1000,1000,0,1.0,9148.962
0.9251,1000,1000,1000,0,1.0,9157.19
0.9261,1000,1000,1000,0,1.0,9168.315
0.9271,1000,1000,1000,0,1.0,9177.779
0.9281,1000,1000,1000,0,1.0,9188.722
0.9291,1000,1000,1000,0,1.0,9197.981
0.9301,1000,1000,1000,0,1.0,9207.87
0.9311,1000,1000,1000,0,1.0,9218.135
0.9321,1000,1000,1000,0,1.0,9227.992
0.9331,1000,1000,1000,0,1.0,9236.823
0.9341,1000,1000,1000,0,1.0,9248.553
0.9351,1000,1000,1000,0,1.0,9257.824
0.9361,1000,1000,1000,0,1.0,9267.762
0.9371,1000,1000,1000,0,1.0,9277.122
0.9381,1000,1000,1000,0,1.0,9287.604
0.9391,1000,1000,1000,0,1.0,9296.858
0.9401,1000,1000,1000,0,1.0,9306.829
0.9411,1000,1000,1000,0,1.0,9316.363
0.9421,1000,1000,1000,0,1.0,9326.362
0.9431,1000,1000,1000,0,1.0,9336.079
0.9441,1000,1000,1000,0,1.0,9347.035
0.9451,1000,1000,1000,0,1.0,9356.025
0.9461,1000,1000,1000,0,1.0,9366.356
0.9471,1000,1000,1000,0,1.0,9375.437
0.9481,1000,1000,1000,0,1.0,9386.529
0.9491,1000,1000,1000,0,1.0,9397.206
0.95,1000,1000,1000,0,1.0,9403.287
0.951,1000,1000,1000,0,1.0,9414.596
0.952,1000,1000,1000,0,1.0,9424.975
0.953,1000,1000,1000,0,1.0,9434.747
0.954,1000,1000,1000,0,1.0,9444.618
0.955,1000,1000,1000,0,1.0,9454.333
0.956,1000,1000,1000,0,1.0,9464.524
0.957,1000,1000,1000,0,1.0,9473.937
0.958,1000,1000,1000,0,1.0,9484.019
0.959,1000,1000,1000,0,1.0,9493.547
0.96,1000,1000,1000,0,1.0,9503.736
0.961,1000,1000,1000,0,1.0,9513.477
0.962,1000,1000,1000,0,1.0,9524.723
0.963,1000,1000,1000,0,1.0,9533.522
0.964,1000,1000,1000,0,1.0,9544.175
0.965,1000,1000,1000,0,1.0,9554.352
0.966,1000,1000,1000,0,1.0,9563.181
0.967,1000,1000,1000,0,1.0,9573.58
0.968,1000,1000,1000,0,1.0,9583.835
0.969,1000,1000,1000,0,1.0,9594.104
0.97,1000,1000,1000,0,1.0,9603.834
0.971,1000,1000,1000,0,1.0,9613.061
0.972,1000,1000,1000,0,1.0,9623.207
0.973,1000,1000,1000,0,1.0,9632.356
0.974,1000,1000,1000,0,1.0,9643.069
0.975,1000,1000,1000,0,1.0,9652.607
0.976,1000,1000,1000,0,1.0,9662.235
0.977,1000,1000,1000,0,1.0,9672.821
0.978,1000,1000,1000,0,1.0,9681.451
0.979,1000,1000,1000,0,1.0,9691.917
0.98,1000,1000,1000,0,1.0,9703.089
0.981,1000,1000,1000,0,1.0,9712.139
0.982,1000,1000,1000,0,1.0,9722.194
0.983,1000,1000,1000,0,1.0,9730.519
0.984,1000,1000,1000,0,1.0,9740.923
0.985,1000,1000,1000,0,1.0,9751.256
0.986,1000,1000,1000,0,1.0,9761.379
0.987,1000,1000,1000,0,1.0,9771.205
0.988,1000,1000,1000,0,1.0,9781.185
0.989,1000,1000,1000,0,1.0,9791.084
0.99,1000,1000,1000,0,1.0,9800.454
0.991,1000,1000,1000,0,1.0,9811.009
0.992,1000,1000,1000,0,1.0,9820.405
0.993,1000,1000,1000,0,1.0,9830.734
0.994,1000,1000,1000,0,1.0,9841.181
0.995,1000,1000,1000,0,1.0,9850.487
0.996,1000,1000,1000,0,1.0,9860.441
0.997,1000,1000,1000,0,1.0,9870.399
0.998,1000,1000,1000,0,1.0,9880.238
0.999,1000,1000,1000,0,1.0,9890.275
1.0,1000,1000,1000,0,1.0,9900.0
