p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.1429,1000,1000,1000,0,1.0,1414.315
0.1439,1000,1000,1000,0,1.0,1424.066
0.1449,1000,1000,1000,0,1.0,1433.837
0.1459,1000,1000,1000,0,1.0,1444.206
0.1469,1000,1000,1000,0,1.0,1454.051
0.1479,1000,1000,1000,0,1.0,1463.138
0.1489,1000,1000,1000,0,1.0,1473.8
0.1499,999,1000,1000,0,1.001,1481.379
0.1508,1000,1000,1000,0,1.0,1494.599
0.1518,1000,1000,1000,0,1.0,1501.801
0.1528,1000,1000,1000,0,1.0,1514.2
0.1538,1000,1000,1000,0,1.0,1522.98
0.1548,1000,1000,1000,0,1.0,1533.052
0.1558,1000,1000,1000,0,1.0,1542.69
0.1568,1000,1000,1000,0,1.0,1552.724
0.1578,1000,1000,1000,0,1.0,1562.242
0.1588,1000,1000,1000,0,1.0,1572.005
0.1598,1000,1000,1000,0,1.0,1579.901
0.1608,1000,1000,1000,0,1.0,1589.664
0.1618,1000,1000,1000,0,1.0,1603.254
0.1628,1000,1000,1000,0,1.0,1610.565
0.1638,1000,1000,1000,0,1.0,1620.107
0.1648,1000,1000,1000,0,1.0,1634.637
0.1658,1000,1000,1000,0,1.0,1641.951
0.1668,1000,1000,1000,0,1.0,1650.719
0.1678,1000,1000,1000,0,1.0,1660.609
0.1688,1000,1000,1000,0,1.0,1672.576
0.1698,1000,1000,1000,0,1.0,1682.61
0.1708,1000,1000,1000,0,1.0,1689.28
0.1718,1000,1000,1000,0,1.0,1700.525
0.1728,1000,1000,1000,0,1.0,1711.321
0.1738,1000,1000,1000,0,1.0,1720.373
0.1748,1000,1000,1000,0,1.0,1733.104
0.1758,1000,1000,1000,0,1.0,1741.183
0.1768,1000,1000,1000,0,1.0,1751.618
0.1778,1000,1000,1000,0,1.0,1759.956
0.1788,1000,1000,1000,0,1.0,1770.549
0.1798,1000,1000,1000,0,1.0,1781.412
0.1808,1000,1000,1000,0,1.0,1791.514
0.1818,1000,1000,1000,0,1.0,1798.769
0.1828,1000,1000,1000,0,1.0,1808.78
0.1838,1000,1000,1000,0,1.0,1817.741
0.1848,1000,1000,1000,0,1.0,1828.807
0.1858,1000,1000,1000,0,1.0,1841.472
0.1868,1000,1000,1000,0,1.0,1851.066
0.1878,1000,1000,1000,0,1.0,1859.444
0.1888,1000,1000,1000,0,1.0,1869.141
0.1898,1000,1000,1000,0,1.0,1877.962
0.1908,1000,1000,1000,0,1.0,1887.729
0.1918,1000,1000,1000,0,1.0,1901.711
0.1928,1000,1000,1000,0,1.0,1907.517
0.1938,1000,1000,1000,0,1.0,1920.302
0.1948,1000,1000,1000,0,1.0,1929.235
0.1958,1000,1000,1000,0,1.0,1937.594
0.1968,1000,1000,1000,0,1.0,1948.115
0.1978,1000,1000,1000,0,1.0,1960.112
0.1988,1000,1000,1000,0,1.0,1967.976
0.1998,1000,1000,1000,0,1.0,1979.487
0.2008,1000,1000,1000,0,1.0,1987.633
0.2018,1000,1000,1000,0,1.0,2001.181
0.2028,1000,1000,1000,0,1.0,2007.72
0.2038,1000,1000,1000,0,1.0,2017.002
0.2048,1000,1000,1000,0,1.0,2028.575
0.2058,1000,1000,1000,0,1.0,2037.06
0.2068,1000,1000,1000,0,1.0,2047.88
0.2078,1000,1000,1000,0,1.0,2056.455
0.2088,1000,1000,1000,0,1.0,2066.373
0.2098,1000,1000,1000,0,1.0,2073.884
0.2108,1000,1000,1000,0,1.0,2087.172
0.2118,1000,1000,1000,0,1.0,2097.773
0.2128,1000,1000,1000,0,1.0,2105.748
0.2138,1000,1000,1000,0,1.0,2114.664
0.2148,1000,1000,1000,0,1.0,2125.898
0.2158,1000,1000,1000,0,1.0,2136.719
0.2168,1000,1000,1000,0,1.0,2148.318
0.2178,1000,1000,1000,0,1.0,2153.6
0.2188,1000,1000,1000,0,1.0,2165.95
0.2198,1000,1000,1000,0,1.0,2174.339
0.2208,1000,1000,1000,0,1.0,2185.281
0.2218,1000,1000,1000,0,1.0,2196.408
0.2228,1000,1000,1000,0,1.0,2201.955
0.2238,1000,1000,1000,0,1.0,2214.125
0.2248,1000,1000,1000,0,1.0,2225.606
0.2258,1000,1000,1000,0,1.0,2234.342
0.2268,1000,1000,1000,0,1.0,2247.205
0.2278,1000,1000,1000,0,1.0,2256.869
0.2288,1000,1000,1000,0,1.0,2266.255
0.2298,1000,1000,1000,0,1.0,2277.717
0.2308,1000,1000,1000,0,1.0,2283.755
0.2318,1000,1000,1000,0,1.0,2293.862
0.2328,1000,1000,1000,0,1.0,2302.934
0.2338,1000,1000,1000,0,1.0,2311.669
0.2348,1000,1000,1000,0,1.0,2324.656
0.2358,1000,1000,1000,0,1.0,2335.403
0.2368,1000,1000,1000,0,1.0,2345.819
0.2378,1000,1000,1000,0,1.0,2356.57
0.2388,1000,1000,1000,0,1.0,2364.899
0.2398,1000,1000,1000,0,1.0,2374.699
0.2408,1000,1000,1000,0,1.0,2383.22
0.2418,1000,1000,1000,0,1.0,2391.436
0.2428,1000,1000,1000,0,1.0,2402.962
0.2438,1000,1000,1000,0,1.0,2414.496
0.2448,1000,1000,1000,0,1.0,2421.427
0.2458,1000,1000,1000,0,1.0,2433.375
0.2468,1000,1000,1000,0,1.0,2442.646
0.2478,1000,1000,1000,0,1.0,2453.875
0.2488,1000,1000,1000,0,1.0,2461.149
0.2498,1000,1000,1000,0,1.0,2471.676
0.2507,1000,1000,1000,0,1.0,2483.071
0.2517,1000,1000,1000,0,1.0,2490.547
0.2527,1000,1000,1000,0,1.0,2502.842
0.2537,1000,1000,1000,0,1.0,2513.824
0.2547,1000,1000,1000,0,1.0,2521.606
0.2557,1000,1000,1000,0,1.0,2531.657
0.2567,1000,1000,1000,0,1.0,2542.005
0.2577,1000,1000,1000,0,1.0,2551.977
0.2587,1000,1000,1000,0,1.0,2563.072
0.2597,1000,1000,1000,0,1.0,2571.753
0.2607,1000,1000,1000,0,1.0,2582.696
0.2617,1000,1000,1000,0,1.0,2592.202
0.2627,1000,1000,1000,0,1.0,2602.918
0.2637,1000,1000,1000,0,1.0,2611.609
0.2647,1000,1000,1000,0,1.0,2621.522
0.2657,1000,1000,1000,0,1.0,2630.535
0.2667,1000,1000,1000,0,1.0,2637.259
0.2677,1000,1000,1000,0,1.0,2649.739
0.2687,1000,1000,1000,0,1.0,2661.445
0.2697,1000,1000,1000,0,1.0,2669.575
0.2707,1000,1000,1000,0,1.0,2678.829
0.2717,1000,1000,1000,0,1.0,2689.51
0.2727,1000,1000,1000,0,1.0,2696.039
0.2737,1000,1000,1000,0,1.0,2711.057
0.2747,1000,1000,1000,0,1.0,2720.845
0.2757,1000,1000,1000,0,1.0,2729.079
0.2767,1000,1000,1000,0,1.0,2740.227
0.2777,1000,1000,1000,0,1.0,2749.34
0.2787,1000,1000,1000,0,1.0,2759.296
0.2797,1000,1000,1000,0,1.0,2769.584
0.2807,1000,1000,1000,0,1.0,2778.602
0.2817,1000,1000,1000,0,1.0,2790.055
0.2827,1000,1000,1000,0,1.0,2798.063
0.2837,1000,1000,1000,0,1.0,2808.728
0.2847,1000,1000,1000,0,1.0,2819.209
0.2857,1000,1000,1000,0,1.0,2827.105
0.2867,1000,1000,1000,0,1.0,2839.46
0.2877,1000,1000,1000,0,1.0,2847.991
0.2887,1000,1000,1000,0,1.0,2855.107
0.2897,1000,1000,1000,0,1.0,2868.903
0.2907,1000,1000,1000,0,1.0,2878.542
0.2917,1000,1000,1000,0,1.0,2888.549
0.2927,1000,1000,1000,0,1.0,2898.542
0.2937,1000,1000,1000,0,1.0,2906.821
0.2947,1000,1000,1000,0,1.0,2915.996
0.2957,1000,1000,1000,0,1.0,2927.513
0.2967,1000,1000,1000,0,1.0,2935.914
0.2977,1000,1000,1000,0,1.0,2948.113
0.2987,1000,1000,1000,0,1.0,2957.568
0.2997,1000,1000,1000,0,1.0,2966.322
0.3007,1000,1000,1000,0,1.0,2980.285
0.3017,1000,1000,1000,0,1.0,2988.463
0.3027,1000,1000,1000,0,1.0,2995.719
0.3037,1000,1000,1000,0,1.0,3007.856
0.3047,1000,1000,1000,0,1.0,3016.617
0.3057,1000,1000,1000,0,1.0,3026.61
0.3067,1000,1000,1000,0,1.0,3040.833
0.3077,1000,1000,1000,0,1.0,3045.881
0.3087,1000,1000,1000,0,1.0,3054.746
0.3097,1000,1000,1000,0,1.0,3067.395
0.3107,1000,1000,1000,0,1.0,3075.239
0.3117,1000,1000,1000,0,1.0,3086.148
0.3127,1000,1000,1000,0,1.0,3097.005
0.3137,1000,1000,1000,0,1.0,3108.972
0.3147,1000,1000,1000,0,1.0,3117.777
0.3157,1000,1000,1000,0,1.0,3127.952
0.3167,1000,1000,1000,0,1.0,3136.593
0.3177,1000,1000,1000,0,1.0,3143.892
0.3187,1000,1000,1000,0,1.0,3155.286
0.3197,1000,1000,1000,0,1.0,3163.839
0.3207,1000,1000,1000,0,1.0,3177.08
0.3217,1000,1000,1000,0,1.0,3184.976
0.3227,1000,1000,1000,0,1.0,3195.057
0.3237,1000,1000,1000,0,1.0,3206.777
0.3247,1000,1000,1000,0,1.0,3214.322
0.3257,1000,1000,1000,0,1.0,3223.478
0.3267,1000,1000,1000,0,1.0,3234.313
0.3277,1000,1000,1000,0,1.0,3242.674
0.3287,1000,1000,1000,0,1.0,3254.44
0.3297,1000,1000,1000,0,1.0,3261.836
0.3307,1000,1000,1000,0,1.0,3276.567
0.3317,1000,1000,1000,0,1.0,3281.952
0.3327,1000,1000,1000,0,1.0,3291.947
0.3337,1000,1000,1000,0,1.0,3302.518
0.3347,1000,1000,1000,0,1.0,3313.005
0.3357,1000,1000,1000,0,1.0,3323.535
0.3367,1000,1000,1000,0,1.0,3335.47
0.3377,1000,1000,1000,0,1.0,3343.646
0.3387,1000,1000,1000,0,1.0,3353.032
0.3397,1000,1000,1000,0,1.0,3361.054
0.3407,1000,1000,1000,0,1.0,3373.512
0.3417,1000,1000,1000,0,1.0,3383.371
0.3427,1000,1000,1000,0,1.0,3395.061
0.3437,1000,1000,1000,0,1.0,3403.76
0.3447,1000,1000,1000,0,1.0,3413.311
0.3457,1000,1000,1000,0,1.0,3421.058
0.3467,1000,1000,1000,0,1.0,3431.593
0.3477,1000,1000,1000,0,1.0,3439.256
0.3487,1000,1000,1000,0,1.0,3450.995
0.3497,1000,1000,1000,0,1.0,3462.354
0.3506,1000,1000,1000,0,1.0,3472.672
0.3516,1000,1000,1000,0,1.0,3482.272
0.3526,1000,1000,1000,0,1.0,3490.065
0.3536,1000,1000,1000,0,1.0,3501.547
0.3546,1000,1000,1000,0,1.0,3509.059
0.3556,1000,1000,1000,0,1.0,3521.088
0.3566,1000,1000,1000,0,1.0,3525.443
0.3576,1000,1000,1000,0,1.0,3541.216
0.3586,1000,1000,1000,0,1.0,3548.661
0.3596,1000,1000,1000,0,1.0,3559.059
0.3606,1000,1000,1000,0,1.0,3568.89
0.3616,1000,1000,1000,0,1.0,3579.49
0.3626,1000,1000,1000,0,1.0,3587.647
0.3636,1000,1000,1000,0,1.0,3600.481
0.3646,1000,1000,1000,0,1.0,3608.648
0.3656,1000,1000,1000,0,1.0,3621.828
0.3666,1000,1000,1000,0,1.0,3628.825
0.3676,1000,1000,1000,0,1.0,3641.29
0.3686,1000,1000,1000,0,1.0,3647.488
0.3696,1000,1000,1000,0,1.0,3662.375
0.3706,1000,1000,1000,0,1.0,3668.892
0.3716,1000,1000,1000,0,1.0,3680.154
0.3726,1000,1000,1000,0,1.0,3688.884
0.3736,1000,1000,1000,0,1.0,3698.961
0.3746,1000,1000,1000,0,1.0,3706.937
0.3756,1000,1000,1000,0,1.0,3723.448
0.3766,1000,1000,1000,0,1.0,3726.387
0.3776,1000,1000,1000,0,1.0,3737.426
0.3786,1000,1000,1000,0,1.0,3746.57
0.3796,1000,1000,1000,0,1.0,3756.15
0.3806,1000,1000,1000,0,1.0,3768.615
0.3816,1000,1000,1000,0,1.0,3779.371
0.3826,1000,1000,1000,0,1.0,3786.052
0.3836,1000,1000,1000,0,1.0,3797.71
0.3846,1000,1000,1000,0,1.0,3810.496
0.3856,1000,1000,1000,0,1.0,3815.938
0.3866,1000,1000,1000,0,1.0,3827.552
0.3876,1000,1000,1000,0,1.0,3836.727
0.3886,1000,1000,1000,0,1.0,3848.205
0.3896,1000,1000,1000,0,1.0,3857.712
0.3906,1000,1000,1000,0,1.0,3865.649
0.3916,1000,1000,1000,0,1.0,3877.179
0.3926,1000,1000,1000,0,1.0,3887.521
0.3936,1000,1000,1000,0,1.0,3898.113
0.3946,1000,1000,1000,0,1.0,3910.107
0.3956,1000,1000,1000,0,1.0,3918.055
0.3966,1000,1000,1000,0,1.0,3926.591
0.3976,1000,1000,1000,0,1.0,3935.456
0.3986,1000,1000,1000,0,1.0,3945.021
0.3996,1000,1000,1000,0,1.0,3956.586
0.4006,1000,1000,1000,0,1.0,3966.241
